ANNO;ID_TIPO;TIPO;VALOR
2015;1;INVERSION EN TELECOMUNICACIONES A PARTIR DEL FLUJO DE EFECTIVO;6024458
2016;1;INVERSION EN TELECOMUNICACIONES A PARTIR DEL FLUJO DE EFECTIVO;5109478
2017;1;INVERSION EN TELECOMUNICACIONES A PARTIR DEL FLUJO DE EFECTIVO;3841129
2018;1;INVERSION EN TELECOMUNICACIONES A PARTIR DEL FLUJO DE EFECTIVO;4683465
2019;1;INVERSION EN TELECOMUNICACIONES A PARTIR DEL FLUJO DE EFECTIVO;5119963
2020;1;INVERSION EN TELECOMUNICACIONES A PARTIR DEL FLUJO DE EFECTIVO;5808121
2021;1;INVERSION EN TELECOMUNICACIONES A PARTIR DEL FLUJO DE EFECTIVO;6879149
2022;1;INVERSION EN TELECOMUNICACIONES A PARTIR DEL FLUJO DE EFECTIVO;7042171
2023;1;INVERSION EN TELECOMUNICACIONES A PARTIR DEL FLUJO DE EFECTIVO;8633176
2024;1;INVERSION EN TELECOMUNICACIONES A PARTIR DEL FLUJO DE EFECTIVO;6358406
2017;2;INVERSION EN TELECOMUNICACIONES A PARTIR DEL MODELO DE SEPARACION CONTABLE;4291456
2018;2;INVERSION EN TELECOMUNICACIONES A PARTIR DEL MODELO DE SEPARACION CONTABLE;4360159
2019;2;INVERSION EN TELECOMUNICACIONES A PARTIR DEL MODELO DE SEPARACION CONTABLE;5683561
2020;2;INVERSION EN TELECOMUNICACIONES A PARTIR DEL MODELO DE SEPARACION CONTABLE;5519565
2021;2;INVERSION EN TELECOMUNICACIONES A PARTIR DEL MODELO DE SEPARACION CONTABLE;7024185
2022;2;INVERSION EN TELECOMUNICACIONES A PARTIR DEL MODELO DE SEPARACION CONTABLE;8615702
2023;2;INVERSION EN TELECOMUNICACIONES A PARTIR DEL MODELO DE SEPARACION CONTABLE;7504580
2023;2;INVERSION EN TELECOMUNICACIONES A PARTIR DEL MODELO DE SEPARACION CONTABLE;6850513
2017;3;INVERSIÓN EN ESPECTRO;0
2018;3;INVERSIÓN EN ESPECTRO;1963
2019;3;INVERSIÓN EN ESPECTRO;370970
2020;3;INVERSIÓN EN ESPECTRO;899892
2021;3;INVERSIÓN EN ESPECTRO;44592
2022;3;INVERSIÓN EN ESPECTRO;384672
2023;3;INVERSIÓN EN ESPECTRO;494415
2024;3;INVERSIÓN EN ESPECTRO;1238929
2015;4;INGRESOS OPERACIONALES;25840148
2016;4;INGRESOS OPERACIONALES;25852281
2017;4;INGRESOS OPERACIONALES;26253385
2018;4;INGRESOS OPERACIONALES;27429531
2019;4;INGRESOS OPERACIONALES;28387876
2020;4;INGRESOS OPERACIONALES;27839799
2021;4;INGRESOS OPERACIONALES;30589075
2022;4;INGRESOS OPERACIONALES;33645017
2023;4;INGRESOS OPERACIONALES;39689315
2023;4;INGRESOS OPERACIONALES;34550976
